competition,n_shots,goal_rate
England,8800,0.10590909090909091
Euro,1280,0.07578125
France,8841,0.10168532971383328
Germany,7181,0.10625261105695585
Italy,9215,0.09647314161692892
Spain,8428,0.10809207403891789
World_Cup,1501,0.0899400399733511
