feature,gain
body_head,16.712892532348633
angle,9.894472122192383
body_foot,9.562871932983398
distance,9.036470413208008
is_free_kick,4.216573715209961
score_diff,2.693239688873291
x,2.5093319416046143
minute,2.4380173683166504
y,2.1356420516967773
