model,imbalance,auc_roc,auc_pr,f1,sensitivity,specificity,log_loss
lr,none,0.7710867281993699,0.3292205643516278,0.16666666666666666,0.09658246656760773,0.9931596091205211,0.27471199182924705
lr,class_weight,0.7713643029654762,0.3291300366620531,0.32122905027932963,0.6835066864784547,0.7180781758957655,0.5636862899061119
lr,smote,0.7706997691313628,0.3281630266094737,0.3210227272727273,0.6716196136701337,0.7245928338762215,0.562273198186127
xgb,none,0.7637954900755526,0.32124627286907254,0.16962025316455695,0.09955423476968796,0.99185667752443,0.27814905311761
xgb,class_weight,0.7625029645081821,0.3230869002016181,0.32082152974504247,0.6731054977711739,0.7234527687296417,0.5193359672950503
xgb,smote,0.755171070272154,0.3101087530722168,0.3340790454884415,0.3328380386329866,0.9276872964169381,0.358725300319589
